Respondent_ID,A1_Organization_Type,A2_Organization_Size,A3_Years_Of_Operation,A4_Number_Of_Employees,A5_Primary_Location,A6_Main_Waste_Type,A7_Formal_Waste_Policy,A8_Responsible_Party,B1_SegregateAtSource,B2_SeparateContainers,B3_LabelledBins,B4_EmployeeUnderstanding,B5_HazardousSeparate,B6_StorageHygiene,C1_MeasurableTargets,C2_MinimizeDisposables,C3_ReusablePreferred,C4_PaperlessProcess,C5_ProcurementConsidersRecyclability,C6_ReuseRepairRefurbish,D1_ScheduledCollection,D2_RecordsMaintained,D3_AuthorisedCollectors,D4_SafeTransport,D5_VerifiesDisposalFacility,D6_OverflowProcedures,E1_RecyclersUsed,E2_MonitorsDiversionRate,E3_OrganicComposted,E4_EmployeesIdentifyRecovery,E5_SupplierPackagingCollab,E6_RecyclingSavingsTracked,F1_RegularTraining,F2_ResponsibilitiesCommunicated,F3_AwarenessProgrammes,F4_EncouragedToReport,F5_ActiveParticipation,F6_IncentivesProvided,G1_ManagementSupport,G2_FinancialResourcesAllocated,G3_ResponsibilitiesAssigned,G4_PerformanceReviewed,G5_EnvObjectivesIntegrated,G6_CorrectiveActionsTaken,H1_AwareOfRules,H2_ComplianceReviewed,H3_LicencesMaintained,H4_ContractorsCompliance,H5_AuditsConducted,H6_NonComplianceDocumented,I1_DigitalRecording,I2_DataAnalysed,I3_KPIsUsed,I4_SmartTechUsed,I5_ReportsSharedWithMgmt,I6_DataBasedDecisions,J1_CommunicatesWithAuthorities,J2_GuidelinesConsidered,J3_CollaboratesWithRecyclers,J4_ContractorsEvaluated,J5_ParticipatesInProgrammes,J6_SuppliersEncouraged,K1_HighCosts,K2_LackOfAwareness,K3_LimitedInfrastructure,K4_InadequateMonitoring,K5_LackOfPersonnel,K6_LimitedRecyclerAccess,K7_InsufficientMgmtSupport,K8_IrregularCollection,B_Section_Score,C_Section_Score,D_Section_Score,E_Section_Score,F_Section_Score,G_Section_Score,H_Section_Score,I_Section_Score,J_Section_Score,K_Barriers_Score,Overall_Maturity_Score
R0443,Manufacturing,Small: 10-49 employees,6-10 years,50-99,Industrial area,Paper and cardboard,Not sure,External waste-management agency,5,3,5,4,5,4,4,4,3,3,3,3,3,3,3,2,3,4,4,3,4,3,2,3,3,2,2,2,2,3,3,4,4,4,5,4,4,4,3,2,3,5,3,3,3,4,3,3,2,3,3,4,3,4,3,3,3,3,3,3,4,3,4.33,3.33,3.0,3.17,2.33,4.0,3.5,3.17,3.17,3.12,3.33
R0444,Manufacturing,Large: 250 employees or more,Less than 3 years,100-249,Industrial area,Paper and cardboard,Under development,Environmental or sustainability department,3,3,3,3,3,3,4,3,3,2,,3,3,3,4,3,3,4,4,3,5,5,4,4,3,4,3,3,3,4,3,2,3,3,3,3,4,4,5,3,4,2,4,4,3,3,3,4,3,3,2,3,4,2,2,2,2,1,1,2,2,4,3.0,3.0,3.33,4.17,3.33,2.83,3.67,3.5,2.83,2.0,3.3
R0445,Information Technology,Small: 10-49 employees,3-5 years,10-49,Commercial area,Paper and cardboard,No,Operations department,4,3,4,3,3,3,4,5,4,4,4,5,3,5,3,4,4,4,3,5,4,4,4,3,4,4,3,3,4,2,4,3,5,3,3,3,4,3,3,3,3,2,3,2,4,3,4,3,5,4,4,4,4,5,3,3,2,5,2,4,4,4,3.33,4.33,3.83,3.83,3.33,3.5,3.0,3.17,4.33,3.38,3.63
R0446,Information Technology,Micro: Fewer than 10 employees,3-5 years,Fewer than 10,Urban area,Plastic waste,No,External waste-management agency,2,,2,1,2,3,2,3,2,2,3,1,2,2,3,2,1,3,3,3,2,2,3,2,2,3,4,2,3,3,2,2,3,3,2,2,3,2,2,3,3,2,3,3,3,4,3,3,4,4,4,4,3,4,2,4,4,4,3,3,3,3,2.0,2.17,2.17,2.5,2.83,2.33,2.5,3.17,3.83,3.25,2.61
R0447,Retail,Large: 250 employees or more,11-20 years,250 or more,Urban area,Paper and cardboard,Under development,External waste-management agency,4,3,3,4,4,4,3,3,3,4,3,2,4,4,3,3,3,5,4,4,3,3,4,5,3,3,4,3,3,2,4,4,4,5,4,4,5,4,5,4,4,3,5,4,4,5,4,4,5,4,2,4,5,3,3,3,2,2,3,3,2,2,3.67,3.0,3.67,3.83,3.0,4.17,4.17,4.33,3.83,2.5,3.74
R0448,Manufacturing,Medium: 50-249 employees,Less than 3 years,100-249,Semi-urban area,Paper and cardboard,Under development,Facility management team,3,4,3,4,4,3,2,3,2,3,3,3,4,5,4,4,5,3,4,4,5,3,3,3,3,2,5,,3,2,4,4,5,5,4,3,2,3,2,3,3,2,3,2,3,4,3,2,3,2,4,3,4,3,4,2,3,4,4,3,3,4,3.5,2.67,4.17,3.67,3.0,4.17,2.5,2.83,3.17,3.38,3.3
R0449,Manufacturing,Medium: 50-249 employees,11-20 years,100-249,Commercial area,Plastic waste,Under development,Environmental or sustainability department,5,5,5,4,3,3,4,3,4,,4,4,4,5,4,4,3,3,4,2,3,3,4,4,4,4,4,4,4,3,5,4,4,5,4,4,4,5,4,4,3,5,4,5,3,5,4,4,4,5,3,3,4,4,4,4,2,3,3,3,4,1,4.17,3.8,3.83,3.33,3.83,4.33,4.17,4.17,3.83,3.0,3.94
R0450,Healthcare,Small: 10-49 employees,6-10 years,10-49,Urban area,Plastic waste,Not sure,Operations department,3,3,2,3,3,3,3,3,3,3,5,4,4,4,3,3,3,4,4,3,3,3,3,3,3,2,4,3,3,2,2,3,4,2,2,3,4,4,4,4,5,3,4,3,4,4,3,3,4,3,3,3,4,3,2,3,3,4,3,2,3,3,2.83,3.5,3.5,3.17,2.83,2.67,4.0,3.5,3.33,2.88,3.26
R0451,Hospitality/Services,Large: 250 employees or more,11-20 years,100-249,Urban area,Food or organic waste,Not sure,Facility management team,4,3,3,3,4,3,5,4,4,4,4,3,2,2,3,2,2,4,3,3,3,5,4,5,3,3,4,4,3,4,2,2,3,3,2,4,4,4,2,3,4,3,3,3,3,4,3,3,5,3,5,3,4,5,3,2,3,3,4,2,3,4,3.33,4.0,2.5,3.83,3.5,2.67,3.33,3.17,4.17,3.0,3.39
R0452,Retail,Large: 250 employees or more,3-5 years,100-249,Commercial area,Paper and cardboard,Not sure,Facility management team,4,4,4,4,3,3,3,2,3,3,3,2,3,2,3,3,4,4,5,3,5,4,4,4,4,4,5,3,3,3,4,3,3,3,4,3,4,3,2,4,4,4,3,3,2,3,3,2,3,4,3,4,3,3,2,3,4,3,3,4,2,3,3.67,2.67,3.17,4.17,3.67,3.33,3.5,2.67,3.33,3.0,3.35
R0453,Healthcare,Small: 10-49 employees,3-5 years,10-49,Urban area,Plastic waste,Yes,Facility management team,3,3,3,3,3,4,5,5,5,5,5,5,4,5,5,5,5,4,3,3,4,3,4,3,4,3,4,4,4,3,5,5,5,5,5,4,5,4,3,3,4,5,3,2,5,4,5,5,5,4,4,4,3,3,2,3,3,3,4,4,2,4,3.17,5.0,4.67,3.33,3.67,4.83,4.0,4.0,3.83,3.12,4.06
R0454,Healthcare,Large: 250 employees or more,6-10 years,100-249,Urban area,Plastic waste,Yes,Environmental or sustainability department,4,3,4,5,5,4,4,2,4,4,3,4,3,4,4,4,4,3,3,4,5,4,4,4,3,3,5,3,4,4,5,4,4,5,4,3,4,3,4,3,3,3,5,5,5,5,4,5,4,4,4,4,4,3,1,3,4,3,2,3,3,3,4.17,3.5,3.67,4.0,3.67,4.17,3.33,4.83,3.83,2.75,3.91
R0455,Information Technology,Medium: 50-249 employees,Less than 3 years,100-249,Semi-urban area,Food or organic waste,Under development,Operations department,4,3,3,5,5,4,4,5,5,3,5,5,3,5,3,4,3,4,4,3,4,4,3,4,4,4,3,4,5,4,4,3,3,3,3,3,3,3,3,4,4,2,4,5,3,4,5,4,3,2,4,3,2,2,4,5,3,3,5,4,5,3,4.0,4.5,3.67,3.67,4.0,3.17,3.17,4.17,2.67,4.0,3.67
R0456,Information Technology,Large: 250 employees or more,11-20 years,100-249,Semi-urban area,Mixed municipal waste,Under development,Facility management team,4,2,3,3,3,3,4,4,4,4,4,4,3,3,3,2,2,2,4,4,4,3,5,4,3,3,3,5,4,3,3,3,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,3,2,3,3,3,4,3,2,3,2,2,4,1,2,3,3.0,4.0,2.5,4.0,3.5,3.5,3.17,3.5,3.0,2.38,3.35
R0457,Manufacturing,Large: 250 employees or more,Less than 3 years,100-249,Industrial area,Paper and cardboard,Yes,Environmental or sustainability department,5,5,4,4,4,3,4,4,4,4,4,3,4,3,3,4,3,4,3,3,3,4,3,4,3,3,3,2,3,3,4,5,5,5,4,5,4,4,5,4,5,4,4,3,4,5,4,5,4,5,4,4,4,4,3,2,3,3,3,3,3,3,4.17,3.83,3.5,3.33,2.83,4.67,4.33,4.17,4.17,2.88,3.89
R0458,Healthcare,Small: 10-49 employees,Less than 3 years,10-49,Urban area,Mixed municipal waste,No,External waste-management agency,3,3,2,4,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,4,3,3,3,3,3,3,5,4,5,4,2,3,1,3,1,2,1,3,3,2,1,3,4,3,4,4,3,3,2,4,3,3,4,2,2,5,2.83,3.0,2.0,2.33,3.17,4.0,2.0,2.17,3.5,3.12,2.78
R0459,Information Technology,Large: 250 employees or more,11-20 years,250 or more,Urban area,Mixed municipal waste,Under development,Environmental or sustainability department,3,5,4,4,5,3,4,3,3,2,3,4,3,3,2,4,4,4,2,4,4,3,2,3,3,5,4,3,3,4,4,5,5,4,4,4,5,4,3,3,4,3,3,4,3,3,4,4,5,5,5,2,5,4,1,2,2,3,3,3,3,2,4.0,3.17,3.33,3.0,3.67,4.33,3.67,3.5,4.33,2.38,3.67
R0460,Hospitality/Services,Medium: 50-249 employees,6-10 years,50-99,Commercial area,Paper and cardboard,Under development,Operations department,2,3,4,3,3,4,2,4,4,2,3,5,3,3,3,2,4,3,3,3,3,3,3,4,3,3,4,3,3,2,2,1,3,1,1,3,4,4,4,4,3,5,4,3,3,3,3,4,3,3,3,3,2,2,2,4,3,3,3,4,5,4,3.17,3.33,3.0,3.17,3.0,1.83,4.0,3.33,2.67,3.5,3.06
R0461,Healthcare,Small: 10-49 employees,11-20 years,10-49,Semi-urban area,Mixed municipal waste,Yes,Operations department,2,2,4,4,3,3,4,3,3,3,3,3,3,4,3,4,4,2,4,4,4,5,4,4,3,4,3,3,4,5,3,1,2,2,2,2,3,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,2,4,3,3,3.0,3.17,3.33,4.17,3.67,2.0,3.83,4.0,4.0,3.0,3.46
R0462,Manufacturing,Small: 10-49 employees,Less than 3 years,10-49,Industrial area,Mixed municipal waste,Not sure,Environmental or sustainability department,2,2,3,3,4,3,3,3,3,4,3,3,2,3,4,4,2,5,2,3,4,3,3,3,2,3,4,1,3,3,2,4,3,3,3,4,4,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,,,3,4,4,4,5,4,4,3,2.83,3.17,3.33,3.0,2.67,3.17,3.0,2.83,3.0,3.88,3.0
R0463,Healthcare,Micro: Fewer than 10 employees,Less than 3 years,Fewer than 10,Semi-urban area,Food or organic waste,No,Operations department,4,2,3,3,2,3,2,3,3,3,3,2,3,1,3,3,4,4,3,3,2,2,2,3,3,2,3,3,2,4,4,4,4,3,4,3,3,3,2,2,3,3,2,2,1,2,2,1,4,3,4,4,2,2,4,4,3,3,3,2,5,4,2.83,2.67,3.0,2.5,2.83,3.67,2.67,1.67,3.17,3.5,2.78
R0464,Healthcare,Micro: Fewer than 10 employees,3-5 years,Fewer than 10,Semi-urban area,Mixed municipal waste,No,Operations department,4,3,4,3,3,4,1,2,2,2,3,3,2,2,2,2,2,2,2,2,,1,4,4,3,3,3,3,3,3,3,4,3,2,2,4,3,3,3,2,2,2,1,4,3,3,3,2,2,3,4,3,2,3,3,4,2,5,3,4,4,3,3.5,2.17,2.0,2.6,3.0,3.0,2.5,2.67,2.83,3.5,2.7
R0465,Manufacturing,Micro: Fewer than 10 employees,3-5 years,Fewer than 10,Commercial area,Paper and cardboard,No,External waste-management agency,3,3,3,3,3,2,3,3,3,2,2,3,3,2,4,3,2,3,3,3,3,2,3,3,3,3,4,3,4,4,4,3,3,4,3,3,2,2,3,3,2,2,2,3,3,3,4,3,2,3,2,3,3,2,3,5,3,4,4,4,4,4,2.83,2.67,2.83,2.83,3.5,3.33,2.33,3.0,2.5,3.88,2.87
R0466,Hospitality/Services,Small: 10-49 employees,3-5 years,10-49,Urban area,Paper and cardboard,Not sure,Environmental or sustainability department,4,4,3,3,4,3,4,4,2,3,3,5,3,3,3,5,4,2,3,3,3,3,3,4,2,4,4,4,4,2,3,3,3,4,3,4,4,3,2,4,3,5,4,4,3,3,4,4,3,3,4,4,3,3,3,3,2,3,4,3,3,,3.5,3.5,3.33,3.17,3.33,3.33,3.5,3.67,3.33,3.0,3.41
R0467,Manufacturing,Small: 10-49 employees,Less than 3 years,10-49,Industrial area,Mixed municipal waste,Not sure,Operations department,3,3,3,2,2,2,3,2,3,2,4,3,2,3,3,4,4,2,3,4,2,4,3,2,2,3,3,,4,2,3,2,3,3,4,3,2,2,4,4,3,2,4,4,4,4,2,4,2,1,3,3,3,2,4,3,4,2,3,3,3,3,2.5,2.83,3.0,3.0,2.8,3.0,2.83,3.67,2.33,3.12,2.88
R0468,Hospitality/Services,Large: 250 employees or more,11-20 years,250 or more,Semi-urban area,Food or organic waste,Yes,Facility management team,4,4,5,5,4,4,5,3,4,4,4,3,4,5,5,4,5,5,3,5,5,4,4,3,4,5,5,5,5,4,4,4,3,3,4,5,5,4,4,4,4,3,,5,4,4,4,4,3,4,2,5,3,5,3,2,1,3,1,2,1,3,4.33,3.83,4.67,4.0,4.67,3.83,4.0,4.2,3.67,2.0,4.13
R0469,Retail,Medium: 50-249 employees,3-5 years,10-49,Urban area,Mixed municipal waste,Under development,External waste-management agency,2,2,2,3,3,3,4,5,5,5,4,3,4,2,3,4,3,5,4,5,4,3,4,4,4,3,3,4,4,3,4,3,5,4,4,5,4,3,5,4,5,5,4,3,3,4,3,3,4,3,4,4,3,3,4,4,5,3,3,4,3,4,2.5,4.33,3.5,4.0,3.5,4.17,4.33,3.33,3.5,3.75,3.68
R0470,Manufacturing,Small: 10-49 employees,6-10 years,10-49,Urban area,Plastic waste,Under development,Operations department,2,4,4,4,4,4,4,3,4,4,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,4,3,4,5,4,3,3,3,3,3,3,2,3,3,2,3,4,3,3,2,3,4,2,3,4,4,4,3,4,3,3,3,4,5,3,3,2,3.67,3.5,2.83,3.0,3.83,3.0,2.83,2.83,3.67,3.25,3.24
R0471,Healthcare,Micro: Fewer than 10 employees,11-20 years,Fewer than 10,Commercial area,Mixed municipal waste,Yes,External waste-management agency,3,3,3,4,3,3,3,3,4,3,4,3,4,5,4,5,5,5,4,4,4,2,4,5,5,4,4,4,4,4,3,4,4,4,4,3,4,3,2,3,4,4,5,4,4,4,4,4,4,3,3,4,2,4,4,3,4,3,3,3,1,3,3.17,3.33,4.67,3.83,4.17,3.67,3.33,4.17,3.33,3.0,3.74
R0472,Healthcare,Micro: Fewer than 10 employees,6-10 years,Fewer than 10,Urban area,Paper and cardboard,Under development,External waste-management agency,3,3,4,2,3,2,3,4,4,4,3,4,3,3,3,4,3,3,5,3,4,4,4,4,3,3,4,4,3,3,2,2,4,4,3,3,2,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,3,3,3,2,4,3,3,3,2,3,2.83,3.67,3.17,4.0,3.33,3.0,2.83,3.67,3.33,2.88,3.31
R0473,Information Technology,Small: 10-49 employees,3-5 years,50-99,Urban area,Paper and cardboard,Yes,External waste-management agency,3,3,4,2,3,3,4,4,4,4,4,4,4,4,3,4,5,3,3,3,4,4,3,4,4,3,3,3,3,4,3,2,3,2,2,2,4,3,4,3,4,3,4,4,3,4,2,3,4,3,3,3,3,4,3,4,4,3,,4,3,4,3.0,4.0,3.83,3.5,3.33,2.33,3.5,3.33,3.33,3.57,3.35
R0474,Healthcare,Large: 250 employees or more,Less than 3 years,100-249,Commercial area,Food or organic waste,No,Environmental or sustainability department,4,3,3,3,3,3,3,5,4,3,4,5,4,4,2,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,,3,4,3,3,4,3,3,3,3,4,4,4,3,3,4,3,3,4,3,3,2,3,3,2,3,2,4,3,3.17,4.0,3.5,4.0,3.83,3.2,3.17,3.5,3.33,2.75,3.52
R0475,Manufacturing,Large: 250 employees or more,Less than 3 years,100-249,Industrial area,Food or organic waste,Not sure,Environmental or sustainability department,3,3,3,4,3,5,3,3,3,4,4,4,3,3,4,3,3,3,3,3,4,4,2,4,4,4,4,4,4,3,4,3,4,5,2,4,5,4,4,4,4,4,4,3,4,3,4,5,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3.5,3.5,3.17,3.33,3.83,3.67,4.17,3.83,3.17,2.88,3.57
R0476,Hospitality/Services,Medium: 50-249 employees,11-20 years,50-99,Commercial area,Paper and cardboard,Not sure,Environmental or sustainability department,4,5,5,5,5,4,3,3,2,3,3,3,2,4,4,3,3,,4,4,3,,3,3,3,3,3,2,2,4,3,3,3,2,3,2,3,4,3,4,3,3,2,3,3,3,3,3,3,3,3,2,3,,3,3,1,4,3,3,3,2,4.67,2.83,3.2,3.4,2.83,2.67,3.33,2.83,2.8,2.75,3.17
R0477,Healthcare,Small: 10-49 employees,3-5 years,10-49,Urban area,Mixed municipal waste,Yes,External waste-management agency,4,5,4,4,3,,5,4,4,4,4,5,3,5,4,2,1,4,2,4,3,4,4,3,4,4,4,3,4,4,4,5,5,3,4,3,4,,4,5,4,2,3,4,3,4,4,2,2,3,3,4,3,3,4,2,3,3,4,3,3,2,4.0,4.33,3.17,3.33,3.83,4.0,3.8,3.33,3.0,3.0,3.64
R0478,Manufacturing,Micro: Fewer than 10 employees,Less than 3 years,Fewer than 10,Industrial area,Paper and cardboard,No,Operations department,3,2,2,3,2,3,3,3,3,4,3,2,4,3,4,3,4,3,3,3,2,3,3,2,2,3,3,3,2,2,3,4,2,3,2,,2,3,3,3,3,3,4,5,5,5,4,5,4,3,3,2,3,3,3,2,3,4,3,4,4,3,2.5,3.0,3.5,2.67,2.5,2.8,2.83,4.67,3.0,3.25,3.05
R0479,Information Technology,Medium: 50-249 employees,6-10 years,10-49,Urban area,Mixed municipal waste,No,External waste-management agency,3,3,3,2,3,5,3,4,4,4,4,4,3,4,4,4,4,3,3,3,3,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,5,3.17,3.83,3.67,2.67,3.0,4.0,3.17,3.0,2.83,3.0,3.26
R0480,Manufacturing,Large: 250 employees or more,11-20 years,250 or more,Industrial area,Paper and cardboard,Yes,Environmental or sustainability department,5,4,4,5,4,4,3,3,3,5,5,4,3,5,4,4,4,4,,4,4,4,5,4,4,4,4,5,3,4,4,5,3,5,5,4,5,5,4,4,3,3,4,4,4,5,4,5,5,5,5,5,5,4,4,3,2,3,,3,2,3,4.33,3.83,4.0,4.2,4.0,4.33,4.0,4.33,4.83,2.86,4.21
R0481,Manufacturing,Medium: 50-249 employees,6-10 years,50-99,Commercial area,Plastic waste,Yes,Operations department,4,3,4,4,5,3,3,3,3,3,4,4,5,5,4,4,4,4,2,1,2,3,2,3,4,4,4,4,4,3,4,4,2,3,4,4,5,4,4,4,5,3,4,3,2,3,3,,4,4,4,3,1,4,3,4,3,3,3,3,2,3,3.83,3.33,4.33,2.17,3.83,3.5,4.17,3.0,3.33,3.0,3.5
R0482,Retail,Medium: 50-249 employees,6-10 years,50-99,Urban area,Mixed municipal waste,Yes,Operations department,5,5,5,5,4,4,3,3,4,2,4,3,5,4,5,4,4,5,4,5,4,4,4,4,3,3,2,4,3,4,5,4,5,5,5,5,5,4,4,4,3,3,4,4,5,5,5,4,4,4,3,5,3,4,2,1,3,2,3,2,3,3,4.67,3.17,4.5,4.17,3.17,4.83,3.83,4.5,3.83,2.38,4.07
R0483,Healthcare,Medium: 50-249 employees,6-10 years,100-249,Urban area,Plastic waste,Under development,Operations department,2,4,3,2,2,4,3,4,3,2,2,2,3,3,4,4,4,3,4,4,4,4,4,4,5,4,5,3,,4,2,4,3,4,3,4,5,3,4,4,4,,4,4,2,4,5,3,3,4,3,4,4,3,4,2,3,3,3,2,2,2,2.83,2.67,3.5,4.0,4.2,3.33,4.0,3.67,3.5,2.62,3.52
R0484,Retail,Large: 250 employees or more,3-5 years,100-249,Semi-urban area,Food or organic waste,Under development,Operations department,4,3,4,5,4,4,3,3,3,4,3,3,4,3,4,5,3,3,4,3,4,4,3,4,4,4,3,4,2,2,5,2,4,4,4,4,4,3,4,4,4,3,4,4,5,,4,4,3,4,3,5,2,4,3,3,3,3,2,3,1,3,4.0,3.17,3.67,3.67,3.17,3.83,3.67,4.2,3.5,2.62,3.65
R0485,Hospitality/Services,Large: 250 employees or more,3-5 years,250 or more,Commercial area,Paper and cardboard,No,External waste-management agency,4,4,4,5,3,4,3,5,3,2,3,3,4,3,4,3,3,4,4,3,4,4,4,3,3,4,3,4,4,3,4,4,4,4,4,5,3,3,4,3,4,3,4,3,5,4,4,5,3,4,3,4,4,4,3,2,2,3,3,2,2,2,4.0,3.17,3.5,3.67,3.5,4.17,3.33,4.17,3.67,2.38,3.69
R0486,Manufacturing,Micro: Fewer than 10 employees,6-10 years,Fewer than 10,Industrial area,Plastic waste,Not sure,External waste-management agency,2,3,3,3,4,4,4,3,5,3,2,4,4,3,4,3,4,4,4,5,4,4,3,4,3,4,5,3,4,3,2,2,3,2,3,3,4,2,4,4,4,4,4,5,4,4,5,4,4,3,3,3,3,4,3,5,2,4,3,3,4,5,3.17,3.5,3.67,4.0,3.67,2.5,3.67,4.33,3.33,3.62,3.54
R0487,Hospitality/Services,Micro: Fewer than 10 employees,3-5 years,Fewer than 10,Urban area,Food or organic waste,Yes,External waste-management agency,4,4,3,4,3,4,3,2,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,2,3,2,2,2,3,2,2,3,4,5,3,4,3,3,3,2,5,4,3,4,3,4,4,4,4,4,4,4,4,4,2,3,3,4,2,3,3,3,3.67,2.83,3.17,3.33,2.33,3.5,3.33,3.67,4.0,2.88,3.31
R0488,Manufacturing,Micro: Fewer than 10 employees,11-20 years,Fewer than 10,Urban area,Plastic waste,Under development,Facility management team,3,4,4,4,4,3,3,3,3,3,3,2,4,3,3,4,3,3,3,4,3,2,4,3,5,5,5,4,5,5,4,4,,4,3,3,5,5,4,4,5,4,4,4,5,4,5,5,2,2,2,3,3,3,4,3,3,3,3,3,3,4,3.67,2.83,3.33,3.17,4.83,3.6,4.5,4.5,2.5,3.25,3.66
R0489,Manufacturing,Micro: Fewer than 10 employees,3-5 years,Fewer than 10,Industrial area,Plastic waste,No,External waste-management agency,3,3,2,3,2,2,3,4,3,4,3,4,2,3,3,3,2,4,4,2,2,3,3,2,4,4,4,4,4,3,2,3,4,3,3,3,4,3,4,4,3,3,4,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,2,2,2,3,2.5,3.5,2.83,2.67,3.83,3.0,3.5,3.5,3.0,2.25,3.15
R0490,Manufacturing,Small: 10-49 employees,11-20 years,10-49,Industrial area,Plastic waste,Yes,Environmental or sustainability department,5,2,2,3,4,3,4,5,5,4,4,5,4,4,3,4,4,4,3,5,4,3,5,4,3,3,2,2,3,4,3,3,3,3,4,3,4,4,3,3,4,5,4,4,3,4,4,3,3,3,4,4,4,4,4,3,4,4,3,4,4,3,3.17,4.5,3.83,4.0,2.83,3.17,3.83,3.67,3.67,3.62,3.63
R0491,Manufacturing,Small: 10-49 employees,3-5 years,10-49,Industrial area,Mixed municipal waste,Yes,External waste-management agency,4,4,4,2,3,3,4,4,4,3,3,4,5,4,4,4,5,5,3,2,3,3,3,3,4,4,4,4,2,4,4,5,5,4,4,4,3,3,3,2,3,2,4,3,4,3,4,3,4,4,4,3,3,2,3,3,1,2,2,2,2,2,3.33,3.67,4.5,2.83,3.67,4.33,2.67,3.5,3.33,2.12,3.54
R0492,Retail,Medium: 50-249 employees,6-10 years,100-249,Urban area,Plastic waste,Not sure,Operations department,2,3,3,3,3,3,4,3,3,4,3,3,3,4,3,3,4,2,4,4,3,3,4,5,5,5,2,4,4,4,4,3,5,2,4,2,3,3,4,5,4,4,3,4,4,4,4,3,4,4,3,3,3,4,3,2,3,4,4,3,2,3,2.83,3.33,3.17,3.83,4.0,3.33,3.83,3.67,3.5,3.0,3.5
R0493,Information Technology,Small: 10-49 employees,Less than 3 years,10-49,Urban area,Mixed municipal waste,Not sure,Operations department,4,4,4,3,3,4,2,2,3,2,3,2,3,3,4,3,4,4,4,2,3,4,3,4,3,2,3,4,3,3,4,4,4,4,3,4,3,4,3,3,5,3,3,3,3,4,3,3,4,3,4,4,3,3,4,3,2,3,3,3,3,3,3.67,2.33,3.5,3.33,3.0,3.83,3.5,3.17,3.5,3.0,3.31
R0494,Information Technology,Micro: Fewer than 10 employees,6-10 years,10-49,Industrial area,Paper and cardboard,Not sure,Operations department,5,5,4,3,4,4,4,2,3,3,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4,2,4,4,4,4,3,3,5,3,2,3,4,2,3,4,3,3,4,4,3,4,3,3,5,4,5,4,5,4,3,2,1,3,3,2,3,3,4.17,3.17,3.17,3.83,3.67,3.17,3.17,3.5,4.5,2.5,3.59
R0495,Information Technology,Medium: 50-249 employees,6-10 years,100-249,Urban area,Paper and cardboard,Not sure,External waste-management agency,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,4,4,3,5,3,3,4,4,5,4,5,4,4,4,2,3,3,3,2,2,3,4,3,4,3,4,5,3,3,3,1,1,2,3,3,2,2,4,4,2,4,4,4,3,2.5,3.0,3.33,3.67,4.33,3.17,3.0,3.5,2.0,3.38,3.17
R0496,Manufacturing,Small: 10-49 employees,6-10 years,10-49,Urban area,Plastic waste,Yes,Environmental or sustainability department,3,3,4,3,3,3,5,5,5,3,5,5,4,3,5,3,4,4,3,3,2,3,3,2,4,2,3,3,2,4,4,3,5,3,3,4,3,4,3,3,3,4,,4,4,3,5,3,3,4,4,5,5,4,3,3,3,3,3,2,3,4,3.17,4.67,3.83,2.67,3.0,3.67,3.33,3.8,4.17,3.0,3.59
R0497,Information Technology,Small: 10-49 employees,11-20 years,10-49,Commercial area,Paper and cardboard,No,External waste-management agency,3,3,4,3,3,2,5,4,3,4,3,4,2,3,2,2,3,3,2,,2,2,3,2,4,3,4,4,3,4,3,4,3,3,5,4,3,2,1,3,2,2,2,2,2,2,2,2,3,3,3,4,3,4,3,4,3,3,5,4,4,3,3.0,3.83,2.5,2.2,3.67,3.67,2.17,2.0,3.33,3.62,2.93
R0498,Retail,Micro: Fewer than 10 employees,11-20 years,Fewer than 10,Urban area,Mixed municipal waste,Under development,External waste-management agency,4,3,4,3,4,5,2,3,3,4,3,,2,2,3,4,4,4,3,2,2,2,3,3,3,5,3,5,4,4,4,3,3,4,3,3,3,3,3,3,4,3,3,3,5,4,3,3,4,4,4,3,3,3,2,2,3,2,3,2,3,2,3.83,3.0,3.17,2.5,4.0,3.33,3.17,3.5,3.5,2.38,3.33
R0499,Information Technology,Micro: Fewer than 10 employees,3-5 years,Fewer than 10,Urban area,Paper and cardboard,No,External waste-management agency,1,2,3,2,4,3,4,4,4,4,4,3,2,3,2,3,3,3,2,3,3,2,3,4,3,2,3,3,3,3,2,2,4,3,3,3,4,5,4,4,4,4,3,3,3,3,2,3,3,3,4,4,4,4,2,3,,3,3,2,4,3,2.5,3.83,2.67,2.83,2.83,2.83,4.17,2.83,3.67,2.86,3.13
